Date,Close,High,Low,Open,Volume
2024-11-01,141.06643676757812,141.59706565133163,139.34683333666763,139.34683333666763,1106000
2024-11-04,140.1231231689453,142.6779536162125,139.62197198979206,140.68321478865778,1345700
2024-11-05,142.09820556640625,142.66813308919336,138.8751785362499,140.08380992412043,1227600
2024-11-06,164.82643127441406,167.55814262968408,157.37809092654643,161.82940550874005,7506300
2024-11-07,158.37054443359375,165.49461504343503,158.09540911298956,165.16052429609428,2608900
2024-11-08,156.08103942871094,158.1249128566228,154.76431803567004,157.1128045476993,1704800
2024-11-11,156.29721069335938,158.37056172454967,155.90416447636915,157.22088579641365,2141800
2024-11-12,151.21702575683594,155.3145936496186,149.13385363706485,154.76432290052836,2170600
2024-11-13,149.55636596679688,152.00312142186837,148.79973624881254,150.84360958188893,2465100
2024-11-14,143.83746337890625,149.55636533035073,143.208580432463,149.09452777661485,1792500
2024-11-15,144.52529907226562,146.89344223037966,143.857102520105,144.82009122781437,1519600
2024-11-18,144.69235229492188,145.92064051474296,143.39527273778955,144.44669465095765,1569000
2024-11-19,142.16697692871094,143.63110180632967,141.21383911526334,142.56985904180596,1810000
2024-11-20,145.5963592529297,147.33561943459347,142.96291671233277,143.37561972270612,2260600
2024-11-21,147.384765625,148.22982852087276,144.0634694771218,145.42932537924432,1738900
2024-11-22,149.28123474121094,150.5881352015909,146.99170370855308,146.99170370855308,1276300
2024-11-25,150.7748260498047,153.76201616722065,149.89044960513277,150.2048985615721,2694000
2024-11-26,151.3251190185547,154.22387641658796,149.69394855271094,152.45513826047747,1728500
2024-11-27,152.08172607421875,154.06662888076886,150.14594279747072,150.4898544748426,1098800
2024-11-29,152.0031280517578,153.46723803182817,151.31528963893084,152.71062327459495,920700
2024-12-02,153.6539306640625,154.87239791493693,152.75974828000545,154.08629049481638,1837300
2024-12-03,152.28807067871094,155.72727742841647,151.9539799072399,155.54057523443225,2043700
2024-12-04,146.71656799316406,152.18982746452306,145.6356833625227,151.80660214201114,2160900
2024-12-05,143.0415496826172,146.42178649468224,140.8699293676132,146.4119655860184,2115800
2024-12-06,140.09364318847656,143.84728405194457,139.83814965225088,143.8374631443021,1838800
2024-12-09,142.0687255859375,144.5646005657939,140.85025831589806,142.34386093824443,1551600
2024-12-10,138.11856079101562,141.98030701503538,137.18506467884922,141.47915579106694,1676200
2024-12-11,136.03538513183594,138.58039483352326,135.30823307688814,138.58039483352326,2082700
