Date,Close,High,Low,Open,Volume
2024-11-03,12048.259765625,12076.849609375,12038.8798828125,12045.33984375,458937900
2024-11-04,12039.3095703125,12059.33984375,11960.0498046875,12058.169921875,647061600
2024-11-05,12014.9404296875,12055.580078125,11943.1103515625,12028.1396484375,984951100
2024-11-06,12093.349609375,12161.3701171875,12044.3701171875,12054.41015625,981174800
2024-11-07,12130.830078125,12158.650390625,12115.9296875,12126.669921875,1234828800
2024-11-10,12103.16015625,12175.6904296875,12071.8095703125,12132.2802734375,525603600
2024-11-11,12106.41015625,12162.2802734375,12063.0498046875,12107.4599609375,938848400
2024-11-12,12047.669921875,12143.4404296875,12047.669921875,12104.51953125,478290900
2024-11-13,11930.4501953125,12041.1796875,11923.4501953125,12032.099609375,365696700
2024-11-14,11791.1796875,11941.8896484375,11791.1796875,11915.51953125,504396900
2024-11-17,11811.98046875,11854.259765625,11747.51953125,11754.26953125,516836000
2024-11-18,11830.3798828125,11850.33984375,11770.5498046875,11826.7099609375,445477300
2024-11-19,11875.91015625,11906.6103515625,11830.759765625,11846.740234375,635972400
2024-11-20,11867.919921875,11918.2197265625,11843.1103515625,11884.599609375,421812200
2024-11-21,11840.51953125,11875.0302734375,11817.83984375,11864.5595703125,691437800
2024-11-25,11787.7197265625,11870.51953125,11787.7197265625,11865.650390625,637816400
2024-11-26,11736.0703125,11812.4599609375,11723.3095703125,11797.7900390625,362752400
2024-11-27,11590.7900390625,11782.259765625,11590.7900390625,11742.509765625,648889100
2024-11-28,11641.3095703125,11657.2802734375,11589.2998046875,11615.830078125,376941900
2024-12-01,11741.740234375,11757.7197265625,11671.73046875,11681.41015625,313349200
2024-12-02,11739.349609375,11753.990234375,11681.5498046875,11748.48046875,351573200
2024-12-03,11815.9296875,11815.9296875,11725.4404296875,11734.580078125,365391400
2024-12-04,11886.8603515625,11886.8603515625,11775.1201171875,11825.58984375,334518900
2024-12-05,11931.849609375,11935.9599609375,11882.349609375,11892.8203125,410306200
2024-12-08,11955.240234375,11998.6201171875,11933.7900390625,11938.990234375,870833200
2024-12-09,12097.400390625,12107.830078125,11966.2802734375,11986.990234375,586257400
2024-12-10,12193.6396484375,12202.3095703125,12106.8603515625,12108.669921875,572990800
