Price,Close,High,Low,Open,Volume
Ticker,8270.SR,8270.SR,8270.SR,8270.SR,8270.SR
Date,,,,,
2024-11-03,18.84000015258789,18.959999084472656,18.700000762939453,18.799999237060547,27734
2024-11-04,18.520000457763672,18.81999969482422,18.5,18.81999969482422,100953
2024-11-05,18.399999618530273,18.8799991607666,18.0,18.540000915527344,112112
2024-11-06,18.479999542236328,18.799999237060547,18.3799991607666,18.600000381469727,47517
2024-11-07,18.65999984741211,18.700000762939453,18.399999618530273,18.420000076293945,26853
2024-11-10,18.600000381469727,18.700000762939453,18.479999542236328,18.700000762939453,23249
2024-11-11,18.200000762939453,18.6200008392334,18.020000457763672,18.600000381469727,37678
2024-11-12,18.219999313354492,18.479999542236328,18.100000381469727,18.459999084472656,50707
2024-11-13,18.0,18.399999618530273,18.0,18.040000915527344,34360
2024-11-14,18.059999465942383,18.200000762939453,17.799999237060547,18.15999984741211,48157
2024-11-17,18.059999465942383,18.059999465942383,18.059999465942383,18.059999465942383,0
2024-11-18,18.459999084472656,18.600000381469727,18.219999313354492,18.600000381469727,61607
2024-11-19,18.6200008392334,18.780000686645508,18.34000015258789,18.540000915527344,102424
2024-11-20,18.68000030517578,18.84000015258789,18.34000015258789,18.739999771118164,101576
2024-11-21,18.559999465942383,18.860000610351562,18.520000457763672,18.739999771118164,99470
2024-11-24,18.68000030517578,18.920000076293945,18.559999465942383,18.65999984741211,55314
2024-11-25,18.459999084472656,18.68000030517578,18.299999237060547,18.68000030517578,36539
2024-11-26,18.239999771118164,18.559999465942383,18.200000762939453,18.559999465942383,36590
2024-11-27,18.0,18.420000076293945,17.899999618530273,18.239999771118164,34438
2024-11-28,18.0,18.100000381469727,17.760000228881836,18.100000381469727,20901
2024-12-01,18.0,18.100000381469727,17.760000228881836,18.100000381469727,20901
2024-12-02,18.280000686645508,18.3799991607666,18.1200008392334,18.200000762939453,23469
2024-12-03,18.31999969482422,18.540000915527344,18.15999984741211,18.280000686645508,44189
2024-12-04,18.219999313354492,18.559999465942383,18.040000915527344,18.479999542236328,101251
2024-12-05,18.280000686645508,18.440000534057617,18.200000762939453,18.239999771118164,54333
2024-12-08,18.440000534057617,18.540000915527344,18.260000228881836,18.280000686645508,50615
2024-12-09,18.739999771118164,18.780000686645508,18.31999969482422,18.440000534057617,103315
2024-12-10,18.31999969482422,18.780000686645508,18.299999237060547,18.780000686645508,125951
2024-12-11,18.3799991607666,18.440000534057617,18.15999984741211,18.299999237060547,68915
2024-12-12,18.260000228881836,18.3799991607666,18.139999389648438,18.3799991607666,27459
2024-12-15,18.219999313354492,18.3799991607666,18.139999389648438,18.219999313354492,25525
2024-12-16,18.200000762939453,18.280000686645508,18.059999465942383,18.200000762939453,41875
2024-12-17,18.079999923706055,18.260000228881836,18.040000915527344,18.18000030517578,50789
2024-12-18,18.079999923706055,18.18000030517578,17.979999542236328,18.18000030517578,24579
2024-12-19,17.959999084472656,18.200000762939453,17.84000015258789,18.1200008392334,67769
2024-12-22,18.100000381469727,18.219999313354492,17.899999618530273,17.899999618530273,32512
2024-12-23,18.280000686645508,18.399999618530273,18.0,18.200000762939453,78923
2024-12-24,18.18000030517578,18.31999969482422,18.079999923706055,18.31999969482422,37123
2024-12-25,18.260000228881836,18.3799991607666,18.100000381469727,18.100000381469727,16667
2024-12-26,18.280000686645508,18.3799991607666,18.1200008392334,18.260000228881836,23079
2024-12-29,20.100000381469727,20.100000381469727,18.15999984741211,18.299999237060547,1556470
2024-12-30,19.860000610351562,21.299999237060547,19.719999313354492,20.34000015258789,1107822
2024-12-31,19.65999984741211,20.1200008392334,19.540000915527344,20.0,269686
2025-01-01,19.639999389648438,20.15999984741211,19.299999237060547,19.639999389648438,295259
2025-01-02,19.68000030517578,20.0,19.540000915527344,19.8799991607666,150868
2025-01-05,19.899999618530273,20.100000381469727,19.559999465942383,19.700000762939453,114010
2025-01-06,20.100000381469727,20.200000762939453,19.780000686645508,20.0,172170
2025-01-07,20.1200008392334,20.68000030517578,20.020000457763672,20.200000762939453,277123
2025-01-08,20.040000915527344,20.299999237060547,20.0,20.059999465942383,166856
2025-01-09,20.040000915527344,20.040000915527344,20.040000915527344,20.040000915527344,0
2025-01-12,20.5,20.639999389648438,20.020000457763672,20.020000457763672,187293
2025-01-13,22.540000915527344,22.540000915527344,20.0,20.5,806514
2025-01-14,22.040000915527344,23.600000381469727,22.0,23.0,1295398
2025-01-15,22.81999969482422,23.459999084472656,22.100000381469727,22.15999984741211,1055861
2025-01-16,22.219999313354492,22.940000534057617,22.219999313354492,22.799999237060547,288972
2025-01-19,23.459999084472656,24.079999923706055,22.260000228881836,22.260000228881836,1533571
2025-01-20,23.1200008392334,23.719999313354492,23.0,23.360000610351562,703063
2025-01-21,23.260000228881836,23.579999923706055,23.040000915527344,23.1200008392334,391691
2025-01-22,22.84000015258789,23.440000534057617,22.84000015258789,23.440000534057617,251987
2025-01-23,22.68000030517578,23.200000762939453,22.65999984741211,22.899999618530273,185220
2025-01-26,22.719999313354492,22.979999542236328,22.65999984741211,22.700000762939453,177235
2025-01-27,22.899999618530273,23.100000381469727,22.520000457763672,22.8799991607666,344879
2025-01-28,22.959999084472656,23.100000381469727,22.81999969482422,22.899999618530273,208287
2025-01-29,22.860000610351562,23.18000030517578,22.68000030517578,22.920000076293945,225259
2025-01-30,23.059999465942383,23.399999618530273,22.780000686645508,22.799999237060547,415455
2025-02-02,23.139999389648438,23.299999237060547,22.920000076293945,23.059999465942383,183556
2025-02-03,22.8799991607666,23.200000762939453,22.799999237060547,23.100000381469727,101748
2025-02-04,23.219999313354492,23.479999542236328,22.81999969482422,23.0,375408
2025-02-05,22.860000610351562,23.5,22.739999771118164,23.5,487662
2025-02-06,22.8799991607666,22.899999618530273,22.639999389648438,22.799999237060547,151222
2025-02-09,22.65999984741211,22.899999618530273,22.65999984741211,22.899999618530273,88640
2025-02-10,22.780000686645508,22.81999969482422,22.600000381469727,22.65999984741211,48877
2025-02-11,23.1200008392334,23.260000228881836,22.579999923706055,22.780000686645508,208339
2025-02-12,22.280000686645508,23.239999771118164,22.280000686645508,23.200000762939453,456457
2025-02-13,22.280000686645508,22.5,22.18000030517578,22.18000030517578,107800
2025-02-16,22.280000686645508,22.520000457763672,22.280000686645508,22.280000686645508,66843
2025-02-17,21.899999618530273,22.399999618530273,21.579999923706055,22.34000015258789,109681
2025-02-18,21.920000076293945,22.15999984741211,21.760000228881836,21.760000228881836,59924
2025-02-19,21.920000076293945,21.920000076293945,21.920000076293945,21.920000076293945,0
2025-02-20,21.31999969482422,21.700000762939453,21.31999969482422,21.700000762939453,56265
2025-02-24,20.979999542236328,21.479999542236328,20.760000228881836,21.479999542236328,37246
2025-02-25,20.739999771118164,21.079999923706055,20.639999389648438,20.81999969482422,43476
2025-02-26,20.84000015258789,20.959999084472656,20.579999923706055,20.700000762939453,44765
2025-02-27,20.600000381469727,21.0,20.579999923706055,20.979999542236328,70548
2025-03-02,20.15999984741211,20.600000381469727,20.020000457763672,20.5,24730
2025-03-03,20.3799991607666,20.459999084472656,19.979999542236328,20.459999084472656,36472
2025-03-04,19.860000610351562,20.360000610351562,19.200000762939453,20.360000610351562,80063
2025-03-05,19.219999313354492,19.81999969482422,19.219999313354492,19.700000762939453,58306
2025-03-06,19.020000457763672,19.219999313354492,18.079999923706055,19.200000762939453,50307
2025-03-09,19.0,19.200000762939453,18.700000762939453,19.020000457763672,21630
2025-03-10,18.84000015258789,19.200000762939453,18.739999771118164,19.0,11797
2025-03-11,18.65999984741211,19.799999237060547,18.0,18.84000015258789,80372
2025-03-12,18.920000076293945,19.459999084472656,18.65999984741211,18.65999984741211,22552
2025-03-13,19.0,19.34000015258789,18.899999618530273,19.020000457763672,13531
2025-03-16,19.100000381469727,19.280000686645508,18.860000610351562,19.0,22182
2025-03-17,19.0,19.899999618530273,18.8799991607666,19.899999618530273,49913
2025-03-18,18.540000915527344,19.260000228881836,18.540000915527344,19.260000228881836,45127
2025-03-19,18.139999389648438,18.5,18.1200008392334,18.5,42088
2025-03-20,18.139999389648438,18.139999389648438,18.139999389648438,18.139999389648438,0
2025-03-23,18.219999313354492,18.600000381469727,18.040000915527344,18.040000915527344,11411
2025-03-24,18.020000457763672,18.299999237060547,18.0,18.200000762939453,46527
2025-03-25,18.0,18.260000228881836,17.799999237060547,18.18000030517578,55687
